95,5281168,CCC/C=C/C=O
96,5281167,CC/C=C\CCO
97,4409936,C1=CC=C(C=C1)CC(=O)[O-]
98,3847415,C=CC1=CC=C(C=C1)OCCCCOC2=CC=C(C=C2)C=C
99,3354132,CC1=C(C(=O)C=CO1)OC(=O)C(C)C
100,3033871,CCCCCCCCN1CCCC1=O
101,3033030,CC(CCC=C(C)C)CC#N
102,3018619,CC(C)CCCCCCCCCCC=O
103,3017923,CCCCCCCCC(C)C#N
104,2724032,CC1=CC[C@H](CC1O)C(=C)C
105,1551246,CC(=CCC/C(=C/C#N)/C)C
106,1550846,C1=CC=C(C=C1)/C=C/C#N
107,1549026,CC(=CCC/C(=C/COC(=O)C)/C)C
108,1549025,CC(=CCC/C(=C\COC(=O)C)/C)C
109,1268142,C[C@@H]1CC(=O)C=C2[C@]1(C[C@@H](CC2)C(=C)C)C
110,1201529,CC1([C@H]2CC=C([C@@H]1C2)C=O)C
111,1201521,C[C@]12CC[C@H](C1)C(C2=O)(C)C
112,853433,C/C=C/C1=CC(=C(C=C1)O)OC
113,785330,CC[C@H](C1=CC=CC=C1)C(=O)O
114,785329,CC[C@@H](C1=CC=CC=C1)C(=O)O
115,643941,CC/C=C\CC=O
116,643820,CC(=CCC/C(=C\CO)/C)C
117,643731,CC/C=C\CC/C=C/C=O
118,638014,CC1=C(C(CCC1)(C)C)/C=C/C(=O)C
119,638011,CC(=CCC/C(=C/C=O)/C)C
120,637758,CCOC(=O)/C=C/C1=CC=CC=C1
121,637566,CC(=CCC/C(=C/CO)/C)C
122,637563,C/C=C/C1=CC=C(C=C1)OC
123,637542,C1=CC(=CC=C1/C=C/C(=O)O)O
124,637520,COC(=O)/C=C/C1=CC=CC=C1
125,637511,C1=CC=C(C=C1)/C=C/C=O
126,561886,C1=CC=C(C=C1)CCCCC=O
127,552003,CCCCCCC(C(=O)O)Br
128,529635,CCC(=O)C(C)S
129,529481,CCCCCC(=O)C(C)C(=O)C
130,529251,CCC(=O)C1=NCCC1
131,529079,CC(CO)CS
132,526487,CC(C)(CCOC=O)S
133,526195,CC(C)(CCOC)S
134,521348,CCCC(CCO)S
135,521238,CCCCCC(CC)OC(=O)C
136,520296,CCCCCCCCCC1CCCC(=O)O1
137,520098,CCC(C)C1=NC=CN=C1OC
138,519709,CCOC(=O)C(C)S
139,518937,CSCC1=CC=CO1
140,518810,CCCC(CCOC(=O)C)S
141,517827,CC(C)C1=CC=C(C=C1)CC(C)C=O
142,445070,CC(=CCC/C(=C/CC/C(=C/CO)/C)/C)C
143,444899,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O
144,444539,C1=CC=C(C=C1)/C=C/C(=O)O
145,444294,C[C@]12CC[C@H](C1(C)C)CC2=O
146,443162,CC1=CC[C@H](CC1)C(C)(C)O
147,443159,C[C@H]1CC[C@@H](C(=O)C1)C(C)C
148,443157,C[C@@H](CCC=C(C)C)CC=O
149,442482,CC1=CC[C@@H](C=C1)C(C)C
150,440968,CC1=CC[C@H]2C[C@@H]1C2(C)C
151,440967,CC1([C@H]2CCC(=C)[C@@H]1C2)C
152,440917,CC1=CC[C@@H](CC1)C(=C)C
153,440832,C1=CC(=CC=C1C2=[O+]C3=CC(=CC(=C3C=C2O)O)O)O
154,440150,CCC[C@H](CC(=O)OCC)O
155,439570,CC1=CC[C@H](CC1=O)C(=C)C
156,439250,CC1=CC[C@H](CC1)C(=C)C
157,263626,CC1C(SC(=N1)C)C
158,252379,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=CC(=O)CC[C@]34CO
159,246728,CCCCCC(=O)CC
160,235414,C1CCCCCCCOC(=O)CCCCCC1
161,228987,CC(CC1=CC=C(C=C1)C(C)(C)C)C=O
162,222994,CC1=CC(=O)CC(C1)C(C)C
163,222865,C[C@]12CCC(=O)C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C
164,193087,CCCC(=CC(=O)O)C
165,181287,CC1C(=NC(S1)C)C
166,171161,CC(=O)NCCC(=O)C1=C(C=CC(=C1)OC)NC=O
167,170284,CC(C)CCCC(C)CC#N
